title,views,when,link,created_at
"Phones, Cobalt Mining, and America Outsourcing Guilt",987K views,1 month ago,https://www.youtube.com/watch?v=jREFM1LQ2NI,2023.4.28
"Andrew Schulz Explained His ""Heavies"" Joke to Yeonmi Park",1.4M views,1 month ago,https://www.youtube.com/watch?v=L-94gZzM8Do,2023.4.28
The Reasons for Female vs. Male Infidelity Explained by Evolutionary Psychologist David Buss,1.1M views,1 month ago,https://www.youtube.com/watch?v=0nTEfx44pws,2023.4.28
Joe Asks Jorge Masvidal About Colby Covington Conflict,1.2M views,1 month ago,https://www.youtube.com/watch?v=IoCy3ZSl0Cw,2023.4.28
Jorge Masvidal Reflects on Kamaru Usman KO Loss,1.2M views,1 month ago,https://www.youtube.com/watch?v=GA4kQ4NXiLc,2023.4.28
Masvidal Breaks Down His Famous Ben Askren Knockout,683K views,1 month ago,https://www.youtube.com/watch?v=S7_28sUSjTI,2023.4.28
Huberman on the Emerging Science Around Psychedelics,563K views,1 month ago,https://www.youtube.com/watch?v=35nbHfXQD0Q,2023.4.28
Andrew Huberman Explains Why Scientists Hung Around Jeffrey Epstein,2.4M views,1 month ago,https://www.youtube.com/watch?v=FRZ9EK1e2R0,2023.4.28
Shane Gillis Introduces Joe to the Grossest Episode of Hoarders,1.9M views,1 month ago,https://www.youtube.com/watch?v=-k9YraHqlCI,2023.4.28
Shane Gillis on the Revolutionary War,1M views,1 month ago,https://www.youtube.com/watch?v=VvswhogSiY0,2023.4.28
"Joe Declares Jon Jones ""The Goat"" After Ciryl Gane Win",948K views,1 month ago,https://www.youtube.com/watch?v=9g8-WydtMoc,2023.4.28
Luke Combs on Learning to Play Guitar at 21 and the Moment that Led Him to Music,370K views,1 month ago,https://www.youtube.com/watch?v=3bvCcujFpt0,2023.4.28
Fun Guys With Fungi - JRE Toons,186K views,1 month ago,https://www.youtube.com/watch?v=jztenfY_uds,2023.4.28
The Dangers of Reintroducing Wolves to Colorado,1.3M views,1 month ago,https://www.youtube.com/watch?v=VJUN7BhGg04,2023.4.28
Chris Rock Responding to Will Smith Slap in New Special,4.9M views,1 month ago,https://www.youtube.com/watch?v=GKU1bHeokEM,2023.4.28
The Silicon Valley Bank Collapse; Is it a Repeat of 2008?,1.8M views,1 month ago,https://www.youtube.com/watch?v=UWEMtd7yYEc,2023.4.28
Joe & Duncan Ask ChatGPT the Hard Questions,1.2M views,1 month ago,https://www.youtube.com/watch?v=Ft68cUiw1ps,2023.4.28
"The Brutality of the Chocolate Industry, Parallels to Cobalt Mining for Phones",1.1M views,1 month ago,https://www.youtube.com/watch?v=U6s8WYhgWDY,2023.4.28
Reacting to the New Footage of the QAnon Shaman,2.8M views,1 month ago,https://www.youtube.com/watch?v=3VgtF9mp79o,2023.4.28
Coffeezilla on the Reaction to His Logan Paul Cryptozoo Videos,2.9M views,1 month ago,https://www.youtube.com/watch?v=RbPJD4Wh-l8,2023.4.28
How Did Celebrities Fall for the FTX Scam? w/Coffeezilla,1M views,1 month ago,https://www.youtube.com/watch?v=v4VZI9Ouzy0,2023.4.28
Derek Wolfe Was Temporarily Paralyzed After Spinal Bruise; Played 2 Weeks Later,645K views,1 month ago,https://www.youtube.com/watch?v=Mz_1C2QbB4o,2023.4.28
What Russell Brand Learned By Living with a Homeless Man,1.6M views,1 month ago,https://www.youtube.com/watch?v=SlOW82qJTBU,2023.4.28
Russell Brand on the Veil Being Lifted on the Corporate Political Establishment,1.5M views,1 month ago,https://www.youtube.com/watch?v=GuoglIuhNjY,2023.4.28
The Media's Reaction to Woody Harrelson's SNL Monologue,2.1M views,1 month ago,https://www.youtube.com/watch?v=fJRGDW4lbss,2023.4.28
The Latest Developments in the East Palestine Chemical Spill Story,2.6M views,1 month ago,https://www.youtube.com/watch?v=9MuaFeyczM0,2023.4.28
Chris Distefano Shares Real Life Stories About Ted Bundy and Son of Sam,3.5M views,1 month ago,https://www.youtube.com/watch?v=MGfhVxVEgik,2023.4.28
Shane Reads Texts From His Uncle About Vietnam; What It Was Really Like,2.1M views,2 months ago,https://www.youtube.com/watch?v=D2CasC5pe9U,2023.4.28
"Eric Weinstein ""We May Be Faking a UFO Situation..."" - Skepticism Over Current State of UFO's",2.9M views,2 months ago,https://www.youtube.com/watch?v=gMJ4cbO88F4,2023.4.28
"Brain Implants, Iron Man Suits, and Robot Children",1M views,2 months ago,https://www.youtube.com/watch?v=pVbygFFBJ_g,2023.4.28
Former SWAT Sniper Recounts His Most Intense Hostage Situation,3.2M views,2 months ago,https://www.youtube.com/watch?v=2yI0OnBn2_I,2023.4.28
"How Author Mark Greaney Feels About ""The Gray Man"" Adaptation of His Book",474K views,2 months ago,https://www.youtube.com/watch?v=OL8Yz7ZFBSw,2023.4.28
"Experts Who Are Labelling ""Freedom"" a Word for Far Right Protestors",681K views,2 months ago,https://www.youtube.com/watch?v=Imh5qst3gCg,2023.4.28
East Palestine Train Derailment: Aftermath of the Ohio Chemical Spill,2.8M views,2 months ago,https://www.youtube.com/watch?v=NaEAMAv2liU,2023.4.28
Matt Taibbi Surprised by FBI & Twitter's Collusion; Russiagate Info in Twitter Files,1M views,2 months ago,https://www.youtube.com/watch?v=eWQGYpSoiYU,2023.4.28
Thoughts on the Chinese Spy Balloon,2.4M views,2 months ago,https://www.youtube.com/watch?v=uDGbC_8Y5P8,2023.4.28
The Fight Companion Reaction to Volkanovski vs. Makhachev Decision,1.5M views,2 months ago,https://www.youtube.com/watch?v=n4GV_sWitvs,2023.4.28
"Jamahal Hill on Beating Glover Teixeira; ""I'm Coming"" Response Video",375K views,2 months ago,https://www.youtube.com/watch?v=fny_KImXkMc,2023.4.28
B-Real on The Reason for Cypress Hill's Distinct Sound,403K views,2 months ago,https://www.youtube.com/watch?v=wVbR9m1mmig,2023.4.28
The Real Story Behind Cocaine Bear and PCP Fueled Feats of Strength,1.7M views,2 months ago,https://www.youtube.com/watch?v=nGCAG6ewBfs,2023.4.28
From Oxycontin to Fentanyl - Mariana van Zeller on Being at the Frontlines of the Opioid Crisis,1.2M views,2 months ago,https://www.youtube.com/watch?v=EmpFwqbQiL4,2023.4.28
Punkie Johnson Wants to do Celebrity Boxing,101K views,2 months ago,https://www.youtube.com/watch?v=-cfXMI61GL8,2023.4.28
Punkie Johnson on Reveals What Working at SNL is Actually Like,291K views,2 months ago,https://www.youtube.com/watch?v=VhhOIvYakP0,2023.4.28
Krystal & Saagar on The Media's Gaslighting Over Corruption in Ukraine,2.8M views,2 months ago,https://www.youtube.com/watch?v=1XDKqhq6bb0,2023.4.28
"Trump or Desantis, Who Wins? - The 2024 Election Outlook",2.4M views,2 months ago,https://www.youtube.com/watch?v=8XIx_EOqPyE,2023.4.28
Francis Ngannou in Boxing: What's Next?,607K views,2 months ago,https://www.youtube.com/watch?v=-5ez1yxMnXo,2023.4.28
The Hype Around the Stylebender vs. Pereira Rematch,910K views,2 months ago,https://www.youtube.com/watch?v=OQDGWKmy8W0,2023.4.28
"Joe & Lex React to ""#1 Cause of Obesity is Genetics"" Claim",1.3M views,2 months ago,https://www.youtube.com/watch?v=1gdmlNxxkME,2023.4.28
Joe's Thoughts on the Paul Pelosi Body Cam Footage,2.3M views,2 months ago,https://www.youtube.com/watch?v=yFM-g1Mb3rg,2023.4.28
Jordan Peterson on How Psychedelic Experiences Could've Shaped Religion,995K views,2 months ago,https://www.youtube.com/watch?v=qd2eqKpqHcs,2023.4.28
The Re-Education of Jordan Peterson: Why His Clinical Psychology License is Under Threat,4.5M views,2 months ago,https://www.youtube.com/watch?v=aLH8UwKG9Qs,2023.4.28
Merlin Tuttle's Most Dangerous Adventures in the Venezuelan Jungle,2.2M views,3 months ago,https://www.youtube.com/watch?v=LIXeZMfau2k,2023.4.28
Falsely Labelled a Domestic Terrorist: Mike Glover Tells His Story,1.7M views,3 months ago,https://www.youtube.com/watch?v=7-W_2Ah0dBw,2023.4.28
Adam Curry's Analysis on US TikTok Ban and Twitter's FBI Links,1.9M views,3 months ago,https://www.youtube.com/watch?v=C-cmEsaI_ew,2023.4.28
Louis CK on Returning to Comedy and His Infamous Leaked Set,1.1M views,3 months ago,https://www.youtube.com/watch?v=24G70hqvu8I,2023.4.28
Joe & Louie Laugh About School Bullies; Growing Up in Boston,1.4M views,3 months ago,https://www.youtube.com/watch?v=5h9eaDEf3Oc,2023.4.28
"Thoughts on Francis Ngannou's Release, Jon Jones vs. Ciryl Gane Match-Up",1.6M views,3 months ago,https://www.youtube.com/watch?v=hByfAzEoeKA,2023.4.28
Jimmy Corsetti Shares New Evidence for Atlantis Theory,4.8M views,3 months ago,https://www.youtube.com/watch?v=Uc5_z6buSLE,2023.4.28
Forrest Galante on the Myth of Giant Anaconda's in the Amazon,5.6M views,3 months ago,https://www.youtube.com/watch?v=tQ6RdKk0x4M,2023.4.28
The Company Trying to Clone Woolly Mammoths,1.4M views,3 months ago,https://www.youtube.com/watch?v=b6Tk7N1qH6M,2023.4.28
How Matt McCusker Got Scared Straight,1M views,3 months ago,https://www.youtube.com/watch?v=1SeQMRZCujA,2023.4.28
Shane Gillis on Getting Drunk at Sporting Events,932K views,3 months ago,https://www.youtube.com/watch?v=3f1x85wQt9s,2023.4.28
Joe Tries Mad Honey - The Hallucinogenic Honey from the Himalayas,9.7M views,3 months ago,https://www.youtube.com/watch?v=64iS4iT4UNw,2023.4.28
LIV Golf vs. the PGA - The Controversial Divide Over the Future of Golf,849K views,3 months ago,https://www.youtube.com/watch?v=D9KQDzyheUI,2023.4.28
Former CIA Officer Mike Baker's Outlook on the Ukraine War,1.4M views,3 months ago,https://www.youtube.com/watch?v=_elvaRJrhE0,2023.4.28
How Sam Bankman-Fried Gained So Much Influence and Met with the President,418K views,3 months ago,https://www.youtube.com/watch?v=0rBaR5dd-Fs,2023.4.28
Sam & Colby's First Paranormal Incident on the Queen Mary,2.8M views,3 months ago,https://www.youtube.com/watch?v=JzzM2VO1FNI,2023.4.28
"China Has 10 Years Left, Says Geopolitical Analyst Peter Zaihan",7.1M views,3 months ago,https://www.youtube.com/watch?v=ED_yPDdqG5Y,2023.4.28
Reacting to Andrew Tate's Arrest,8.5M views,3 months ago,https://www.youtube.com/watch?v=MMI9_Mv8aZA,2023.4.28
What ChatGPT Could Mean for the Future of Artificial Intelligence,3.9M views,3 months ago,https://www.youtube.com/watch?v=kh5dN72GTQ8,2023.4.28
John Reeves Stumbled Upon a Goldmine of Ice Age Fossils,1.8M views,3 months ago,https://www.youtube.com/watch?v=W6TakaXCIIQ,2023.4.28
"Sharking, Gambling, and Drugs: The Dark Side of Pool",1.1M views,3 months ago,https://www.youtube.com/watch?v=6UGC_wxTeB0,2023.4.28
Jon Bernthal Reflects on Interviewing Shia Labeouf,6.3M views,3 months ago,https://www.youtube.com/watch?v=m-xLg5ork4g,2023.4.28
What Jon Bernthal Learned His 3rd Day Living in Russia,1.9M views,3 months ago,https://www.youtube.com/watch?v=JzmUojwdfg0,2023.4.28
Looking at Some of Boxing's Most Brutal KO's,1M views,4 months ago,https://www.youtube.com/watch?v=ouO6-j5_PDw,2023.4.28
The Disturbing Reality of Cobalt Mining for Rechargeable Batteries,4.4M views,4 months ago,https://www.youtube.com/watch?v=CIWvk3gJ_7E,2023.4.28
"Looking at ""Trump Cards""; Donald Trump's NFT Collection",705K views,4 months ago,https://www.youtube.com/watch?v=pLPtINOpF1Q,2023.4.28
The National Archives Released Thousands of JFK Files,1.8M views,4 months ago,https://www.youtube.com/watch?v=XJGKdkQ25CI,2023.4.28
The Debate Over Reintroducing Jaguars to North America,1.5M views,4 months ago,https://www.youtube.com/watch?v=m2LThhFmnXo,2023.4.28
The Controversy Around Brittney Griner's Return,2.5M views,4 months ago,https://www.youtube.com/watch?v=NbvEt_v7cb0,2023.4.28
An Apocalyptic Moment - JRE Toons,463K views,4 months ago,https://www.youtube.com/watch?v=xLavfj2MnEg,2023.4.28
Writer of Hurt Locker & Zero Dark Thirty on Bringing Realism to Movies,346K views,4 months ago,https://www.youtube.com/watch?v=o60dQ1Q7liQ,2023.4.28
Mark Laita of Soft White Underbelly on Doing Interviews and The Homeless Problem,1.8M views,4 months ago,https://www.youtube.com/watch?v=Q9hrH-sZ0Vc,2023.4.28
The Link Between Sports and War,737K views,4 months ago,https://www.youtube.com/watch?v=jdDClU9rgac,2023.4.28
The Kind of Girl Stavros Halkias is Looking For,806K views,4 months ago,https://www.youtube.com/watch?v=vQCCU1Gtgao,2023.4.28
Beekeeper Erika Thompson Explains How Bee Colonies Work,1M views,4 months ago,https://www.youtube.com/watch?v=Zr2yeYkysk0,2023.4.28
Celebrities Who Endorsed FTX; Reacting to Sam Bankman-Fried's NYT Interview,1.6M views,4 months ago,https://www.youtube.com/watch?v=27IvxuNORcA,2023.4.28
David Goggins Thought He'd Never Run Again,846K views,4 months ago,https://www.youtube.com/watch?v=WY7XPMThJ4Y,2023.4.28
"Joe Asks Derek, MPMD About Exposing Liver King's PED Use",7.7M views,4 months ago,https://www.youtube.com/watch?v=y-4no6SVAQs,2023.4.28
Neil deGrasse Tyson on the Webb Telescope and the Big Bang,2M views,4 months ago,https://www.youtube.com/watch?v=i-TqQY_1lEc,2023.4.28
The Strange Ongoing Saga of FTX and Sam Bankman-Fried,2.7M views,4 months ago,https://www.youtube.com/watch?v=Pc8sIYfPQF8,2023.4.28
Does Weight Cutting Give Fighters Eating Disorders?,1.3M views,5 months ago,https://www.youtube.com/watch?v=rtr0V254akc,2023.4.28
"Joe Remembers Anthony ""Rumble"" Johnson",459K views,5 months ago,https://www.youtube.com/watch?v=S8S1KKGLCqE,2023.4.28
Danny Brown on The Downside of Rap,613K views,5 months ago,https://www.youtube.com/watch?v=tCTpie2xivQ,2023.4.28
Author Steven Pressfield on Ego Causing Procrastination; Being a Force of Nature,1M views,5 months ago,https://www.youtube.com/watch?v=gaCiKQbMLcY,2023.4.28
"How Steve-O Got a ""Mike Tyson Nose Job""",462K views,5 months ago,https://www.youtube.com/watch?v=Qow2aMrDFo8,2023.4.28
Steve-O on Having UFC Fighters Give Him Cauliflower Ear,1.1M views,5 months ago,https://www.youtube.com/watch?v=r-5_-X9rsWc,2023.4.28
The Strange Details of the FTX Scandal,4.1M views,5 months ago,https://www.youtube.com/watch?v=zWV-EdsnYMk,2023.4.28
Ayahuasca Made Neal Brennan Believe in God,870K views,5 months ago,https://www.youtube.com/watch?v=0O05yasj8KM,2023.4.28
Joe & Neal Brennan on What People Look For in a President,220K views,5 months ago,https://www.youtube.com/watch?v=Z7smFvInLEI,2023.4.28
"The UFC's Joaquin Buckley Finds Jake Paul Fights ""Embarrassing""",888K views,5 months ago,https://www.youtube.com/watch?v=7I4Y2HtAwlY,2023.4.28
Previewing the Stylebender vs. Alex Pereira Fight,546K views,5 months ago,https://www.youtube.com/watch?v=83roHK_wzEc,2023.4.28
Randall Carlson & Graham Hancock on Lost Technology and the Great Pyramids,8.4M views,5 months ago,https://www.youtube.com/watch?v=nAk8MagnDsY,2023.4.28
"Statistician Analyzes ""Climate Change Makes Hurricanes Worse"" Claim",705K views,5 months ago,https://www.youtube.com/watch?v=TM3a7iGhysI,2023.4.28
Joe and Matt Walsh Disagree Over Gay Marriage,4.2M views,5 months ago,https://www.youtube.com/watch?v=I957o08voU0,2023.4.28
Suzanne Santo Shares Her Grandfather's Story of Being a WWII POW,386K views,5 months ago,https://www.youtube.com/watch?v=zDNRPPNzAFA,2023.4.28
Suzanne Santo Performs Some New Songs,113K views,5 months ago,https://www.youtube.com/watch?v=2t2Hxi0jm6c,2023.4.28
Regenerative Farmer Will Harris on Whole Foods and Green Washing,1.8M views,5 months ago,https://www.youtube.com/watch?v=--4yKHWxjJ0,2023.4.28
The Sober October Guys See Who Can Do the Most Push-Ups,923K views,5 months ago,https://www.youtube.com/watch?v=oyr4465J62o,2023.4.28
Tom Segura's Obsession with Garth Brooks,1M views,5 months ago,https://www.youtube.com/watch?v=hX5QV_q4iAM,2023.4.28
Homeland Security's Plan to Police Misinformation on Twitter,1.5M views,5 months ago,https://www.youtube.com/watch?v=dk6lRKlGFtE,2023.4.28
Joe on Elon Musk Taking Over Twitter,2.1M views,5 months ago,https://www.youtube.com/watch?v=gXtT0WlvHjg,2023.4.28
The Climate Change Activists Who Are Vandalizing Famous Paintings,793K views,5 months ago,https://www.youtube.com/watch?v=VFSz_4sBrkc,2023.4.28
Dr. Phil on the Counterfeit Pill Problem,2M views,5 months ago,https://www.youtube.com/watch?v=TDq1BFAPY2g,2023.4.28
Demetrious Johnson on Letting Go of Trying to Be Perfect,365K views,6 months ago,https://www.youtube.com/watch?v=KKwMqUpM1VA,2023.4.28
"Why Demetrious ""Mighty Mouse"" Johnson Left the UFC",1.2M views,6 months ago,https://www.youtube.com/watch?v=Md0sXcNPL5o,2023.4.28
Skeptic Michael Shermer on UFO Events,1.5M views,6 months ago,https://www.youtube.com/watch?v=Fih4cYdsoYs,2023.4.28
Joe's Thoughts on UFC 280,1.2M views,6 months ago,https://www.youtube.com/watch?v=V1inYnciMrk,2023.4.28
Joe Asks Maynard James Keenan About His Vineyard,208K views,6 months ago,https://www.youtube.com/watch?v=VHs_JyPhmtE,2023.4.28
"Robert Kelly on Overcoming Childhood Struggles, Being a Ward of the State, Getting Sober at 15",562K views,6 months ago,https://www.youtube.com/watch?v=DGdV97q9ndk,2023.4.28
Former SEAL's on the Criticism of Navy SEAL Training,2.3M views,6 months ago,https://www.youtube.com/watch?v=A1fZ6rlOwxk,2023.4.28
"Anthony Kiedis on Under the Bridge, Rick Rubin, and Addiction",2.8M views,6 months ago,https://www.youtube.com/watch?v=OM-1-excTUI,2023.4.28
Former Navy Pilot Ryan Graves on His UFO Encounter,6.1M views,6 months ago,https://www.youtube.com/watch?v=DsNSF7oBYS0,2023.4.28
"Semaglutide, Kardashians, and Female Body Image",2M views,6 months ago,https://www.youtube.com/watch?v=jT32uQQVGvU,2023.4.28
Iliza Shlesinger's Problem with The Rock's Cheat Meals,1.3M views,6 months ago,https://www.youtube.com/watch?v=-jYlVeb3Zm4,2023.4.28
"Rick Rubin Compares the Creative Process of Eminem, Jay-Z, and Anthony Kiedis",1.6M views,6 months ago,https://www.youtube.com/watch?v=KjtZ_CLY1hQ,2023.4.28
Rick Rubin on How Walk This Way Brought Hip-Hop Into the Mainstream,523K views,6 months ago,https://www.youtube.com/watch?v=8GinSDc0Is8,2023.4.28
Tulsi Gabbard on Ukraine and the Military Industrial Complex,4.9M views,6 months ago,https://www.youtube.com/watch?v=rAfwpfUBw1M,2023.4.28
The Start of Sober October 4 and Bert's Health Improvements,1.3M views,6 months ago,https://www.youtube.com/watch?v=bK3GEO-7wXY,2023.4.28
Roger Waters Tells the Tragic Story of Syd Barrett,2.4M views,6 months ago,https://www.youtube.com/watch?v=0BcKrk5tFnE,2023.4.28
The Reason Why Roger Waters is So Outspoken,828K views,6 months ago,https://www.youtube.com/watch?v=x-B6-iYDHPs,2023.4.28
Rolling Stone Founder Jann Wenner Remembers Hunter S. Thompson,379K views,6 months ago,https://www.youtube.com/watch?v=VLND2ptAOio,2023.4.28
Toilet Water Moment - JRE Toons,668K views,6 months ago,https://www.youtube.com/watch?v=eoBifsp3O-I,2023.4.28
Death By Digit - JRE Toons,459K views,6 months ago,https://www.youtube.com/watch?v=i4VaCDP3WF8,2023.4.28
Joe's Thoughts on House of Dragons,921K views,6 months ago,https://www.youtube.com/watch?v=WRQoiGLB-b4,2023.4.28
Does CTE Play a Role in the Brett Favre Scandal?,236K views,6 months ago,https://www.youtube.com/watch?v=u3V2Di5w9N8,2023.4.28
Joe Previews This Year's Sober October,351K views,6 months ago,https://www.youtube.com/watch?v=-oBOmHfdsiA,2023.4.28
Dave Smith Breaks Down the Reasons Russia Invaded Ukraine,10M views,6 months ago,https://www.youtube.com/watch?v=WVXzwnU1H6U,2023.4.28
"The Alarming Amount of Smash & Grabs, NYC Crime",1.5M views,7 months ago,https://www.youtube.com/watch?v=evXremPsFyk,2023.4.28
Alligator Attacks in Florida,488K views,7 months ago,https://www.youtube.com/watch?v=vpfSogtICUQ,2023.4.28
Former Pharmaceutical Rep Details How Oxycontin Took Over,3.1M views,7 months ago,https://www.youtube.com/watch?v=VnL7XWH8uoA,2023.4.28
The Anticipation of Jon Jones' Comeback,852K views,7 months ago,https://www.youtube.com/watch?v=gl1_vKBYvH4,2023.4.28
Will Harris on Being with Kamaru Usman After Leon Edwards Loss,566K views,7 months ago,https://www.youtube.com/watch?v=GZSjbC4tM5s,2023.4.28
"Joe's Crazy Weekend, Seeing Canelo vs. GGG with Dave Chappelle, Gordon Ryan's ADCC Win, UFC Vegas 60",905K views,7 months ago,https://www.youtube.com/watch?v=W-TGhB7DwUM,2023.4.28
"Jon Peters on Becoming Barbara Streisand's Hairdresser, Having a Bullet in His Chest",237K views,7 months ago,https://www.youtube.com/watch?v=nf2zqYUAOwg,2023.4.28
"Jon Peters on Producing Batman, Casting Michael Keaton, and Jack Nicholson",307K views,7 months ago,https://www.youtube.com/watch?v=J17H6X5tBwQ,2023.4.28
Legendary Film Producer Jon Peters on Meeting Elvis and Michael Jackson,242K views,7 months ago,https://www.youtube.com/watch?v=W637AJp3mNU,2023.4.28
Max Lugavere on Controversial Alzheimer's Drugs and Studies,645K views,7 months ago,https://www.youtube.com/watch?v=hR2vPB5b20Y,2023.4.28
Physician Gabor Mate Gives His Analysis on ADHD and Anxiety,3.1M views,7 months ago,https://www.youtube.com/watch?v=4jQSOSi2DA8,2023.4.28
The Mysterious Stomach Issue that Kept Gordon Ryan From Competing for a Year,621K views,7 months ago,https://www.youtube.com/watch?v=TCQXrFar2xQ,2023.4.28
Gordon Ryan on John Danaher's Dedication to Jiu-Jitsu,445K views,7 months ago,https://www.youtube.com/watch?v=rMesVpXYEh0,2023.4.28
The Genius of Bill Hicks,474K views,7 months ago,https://www.youtube.com/watch?v=PAZxAA2a7aQ,2023.4.28
Woody Allen's Tainted Legacy,421K views,7 months ago,https://www.youtube.com/watch?v=7ZUSVabB6N4,2023.4.28
Eddie Bravo on Elon Musk's Dismissal of Overpopulation,2.7M views,7 months ago,https://www.youtube.com/watch?v=wxyIruYbBtw,2023.4.28
Eddie Bravo's Thoughts on Recent UFO Revelations,965K views,7 months ago,https://www.youtube.com/watch?v=se8WZSPujW8,2023.4.28
Joe & Co. on Andrew Tate Being Deplatformed,4.2M views,7 months ago,https://www.youtube.com/watch?v=t7vkPqUj2tk,2023.4.28
Joe's Thoughts on Rumored Jake Paul vs. Anderson Silva Fight,932K views,7 months ago,https://www.youtube.com/watch?v=M6B-XYmHCf0,2023.4.28
The Fight Companion Guys Remember the Aztec Death Whistle,279K views,7 months ago,https://www.youtube.com/watch?v=6go4oViEkdc,2023.4.28
"Kamaru Usman Calls Loss to Leon Edwards ""A Relief""",1.8M views,7 months ago,https://www.youtube.com/watch?v=EmYbcD7wI3o,2023.4.28
Kamaru Usman Responds to PED Use Accusations,555K views,7 months ago,https://www.youtube.com/watch?v=zGgMzBfPfaI,2023.4.28
Shane Gillis on Visiting Mar-a-Lago,1.5M views,7 months ago,https://www.youtube.com/watch?v=TFdom0lkd-0,2023.4.28
Joe Analyzes Sumo Wrestling,656K views,7 months ago,https://www.youtube.com/watch?v=p5lVt8xmtvk,2023.4.28
"Aaron Rodgers Clears the Air on ""Immunized"" Controversy",2.4M views,8 months ago,https://www.youtube.com/watch?v=LlZ5Zwp09FI,2023.4.28
Alex Berenson Sued Twitter Over Being Banned and Was Reinstated,1.1M views,8 months ago,https://www.youtube.com/watch?v=_ot6-61hZRo,2023.4.28
Mark Zuckerberg Answers to Facebook's Moderation of Controversial Content,3.9M views,8 months ago,https://www.youtube.com/watch?v=BN3PIGLDscQ,2023.4.28
Joe Asks Former CIA Officer Mike Baker About the FBI Trump Raid,3.1M views,8 months ago,https://www.youtube.com/watch?v=uPwlmwNQq8Y,2023.4.28
Dave Mustaine Reflects on His Days in Metallica,1.1M views,8 months ago,https://www.youtube.com/watch?v=H-4u4rOZup4,2023.4.28
Megadeth's Dave Mustaine on Drugs and the Dark Side of the Music Industry,2.3M views,8 months ago,https://www.youtube.com/watch?v=nXywpYF-A-U,2023.4.28
Tim Dillon Rants About the Future of America,3M views,8 months ago,https://www.youtube.com/watch?v=yqeuS43-69E,2023.4.28
"Louis CK on Independently Releasing ""Fourth of July"" and Algorithms",950K views,8 months ago,https://www.youtube.com/watch?v=WgwiliCPl8U,2023.4.28
